TPUName,AdmArea,District,NearStation,Holder,global_id,lon,lat
ТПУ Алтуфьево АвД СВАО,Северо-Восточный административный округ,район Лианозово,станция метро «Алтуфьево»,ГБУ «Автомобильные дороги СВАО»,638887232,37.586506023,55.898963418
ТПУ Белорусская АвД города Москвы,Центральный административный округ,Тверской район,Белорусский вокзал,ГБУ «Автомобильные дороги»,638887236,37.582353964,55.77727374
ТПУ Белорусская АвД ЦАО,Центральный административный округ,Тверской район,Белорусский вокзал,ГБУ «Автомобильные дороги ЦАО»,638887249,37.582611456,55.775175415
ТПУ Бибирево Жилищник Бибирево,Северо-Восточный административный округ,район Бибирево,станция метро «Бибирево»,ГБУ «Жилищник района Бибирево»,638887258,37.601172342,55.884186192
ТПУ Бибирево АвД СВАО,Северо-Восточный административный округ,район Бибирево,станция метро «Бибирево»,ГБУ «Автомобильные дороги СВАО»,638887262,37.604627028,55.883969104
ТПУ Ботанический сад АвД СВАО,Северо-Восточный административный округ,район Ростокино,станция метро «Ботанический сад»,ГБУ «Автомобильные дороги СВАО»,638887272,37.637131408,55.843922585
ТПУ Бульвар Адмирала Ушакова АвД ЮЗАО,Юго-Западный административный округ,район Южное Бутово,станция метро «Бульвар адмирала Ушакова»,ГБУ «Автомобильные дороги ЮЗАО»,638887708,37.541461348,55.544748671
ТПУ Бульвар Дмитрия Донского АвД ЮЗАО,Юго-Западный административный округ,район Северное Бутово,станция метро «Бульвар Дмитрия Донского»,ГБУ «Автомобильные дороги ЮЗАО»,638887711,37.576978817,55.569845825
ТПУ Варшавская АвД города Москвы,Южный административный округ,Нагорный район,станция метро «Варшавская»,ГБУ «Автомобильные дороги»,638887725,37.61978188,55.653777678
ТПУ Варшавская Жилищник Москворечье-Сабурово,Южный административный округ,район Москворечье-Сабурово,станция метро «Варшавская»,ГБУ «Жилищник района Москворечье-Сабурово»,638887727,37.623646415,55.653805237
ТПУ ВДНХ АвД СВАО,Северо-Восточный административный округ,Останкинский район,станция метро «ВДНХ»,ГБУ «Автомобильные дороги СВАО»,638887728,37.641308918,55.822465989
ТПУ ВДНХ АвД города Москвы,Северо-Восточный административный округ,Алексеевский район,станция метро «ВДНХ»,ГБУ «Автомобильные дороги»,638887729,37.641180172,55.82012246
ТПУ Владыкино АвД СВАО,Северо-Восточный административный округ,район Марфино,станция метро «Владыкино»,ГБУ «Автомобильные дороги СВАО»,638887730,37.590025082,55.846255646
ТПУ Балтийская АвД города Москвы,Северный административный округ,Войковский район,станция метро «Войковская»,ГБУ «Автомобильные дороги»,638887733,37.496609106,55.819808369
ТПУ Балтийская АвД САО,Северный административный округ,Войковский район,станция метро «Войковская»,ГБУ Автомобильные дороги САО,639971891,37.499935343,55.818304431
ТПУ Волоколамская АвД СЗАО,Северо-Западный административный округ,район Митино,станция метро «Волоколамская»,ГБУ Автомобильные дороги СЗАО,641329122,37.381852803,55.836932832
ТПУ Выставочная АвД города Москвы,Центральный административный округ,Пресненский район,станция метро «Выставочная»,ГБУ Автомобильные дороги,641330619,37.542628775,55.750226022
ТПУ Выхино АвД ЮВАО,Юго-Восточный административный округ,район Выхино-Жулебино,"станция метро «Выхино», платформа «Выхино»",ГБУ «Автомобильные дороги ЮВАО»,641346040,37.817389628,55.715921055
ТПУ Выхино ДЗ ВАО,Восточный административный округ,район Вешняки,"станция метро «Выхино», платформа «Выхино»",ГКУ «Дирекция ЖКХиБ ВАО»,641346280,37.81744422,55.716242998
ТПУ Домодедовская АвД ЮАО,Южный административный округ,район Орехово-Борисово Южное,станция метро «Домодедовская»,ГБУ Автомобильные дороги ЮАО,641346535,37.716904297,55.610518592
ТПУ Домодедовская АвД города Москвы,Южный административный округ,район Орехово-Борисово Южное,станция метро «Домодедовская»,ГБУ Автомобильные дороги,641346701,37.718299046,55.610299969
ТПУ Дубровка АвД ЮВАО,Юго-Восточный административный округ,Южнопортовый район,станция метро «Дубровка»,ГБУ Автомобильные дороги ЮВАО,641346975,37.676228709,55.718003161
ТПУ Измайловская ДЗ ВАО,Восточный административный округ,район Измайлово,станция метро «Измайловская»,ГКУ «Дирекция ЖКХиБ ВАО»,641347312,37.781331216,55.787896437
ТПУ Казанский Жилищник Красносельский,Центральный административный округ,Красносельский район,станция метро Комсомольская площадь,ГБУ Жилищник района Красносельский,641348697,37.657813599,55.777301683
ТПУ Казанский АвД ЦАО,Центральный административный округ,Красносельский район,Казанский вокзал,ГБУ Автомобильные дороги ЦАО,641377256,37.656908646,55.772472218
ТПУ Киевский АвД ЗАО,Западный административный округ,район Дорогомилово,Киевский вокзал,ГБУ Автомобильные дороги ЗАО,641377260,37.567108288,55.744134777
ТПУ Кожуховская АвД ЮВАО,Юго-Восточный административный округ,Южнопортовый район,станция метро «Кожуховская»,ГБУ Автомобильные дороги ЮВАО,641377269,37.685704842,55.706351657
ТПУ Коньково АвД ЮЗАО,Юго-Западный административный округ,район Тёплый Стан,станция метро «Коньково»,ГБУ Автомобильные дороги ЮЗАО,641377288,37.519558086,55.634237977
ТПУ Красногвардейская АвД ЮАО,Южный административный округ,район Зябликово,станция метро «Красногвардейская»,ГБУ Автомобильные дороги ЮАО,641377321,37.742632046,55.613627763
ТПУ Курская АвД города Москвы,Центральный административный округ,Басманный район,платформа «Москва Товарная - Курская»,ГБУ Автомобильные дороги,641377338,37.660599365,55.75837868
ТПУ Курская Жилищник Басманный,Центральный административный округ,Басманный район,платформа «Москва Товарная - Курская»,ГБУ Жилищник района Басманный,641377344,37.660341873,55.757773693
ТПУ Курская АвД ЦАО,Центральный административный округ,Басманный район,платформа «Москва Товарная - Курская»,ГБУ Автомобильные дороги ЦАО,641377349,37.660221978,55.757647745
ТПУ Ленинградский Жилищник Красносельский,Центральный административный округ,Красносельский район,Ленинградский железнодорожный вокзал,ГБУ Жилищник района Красносельский,641377363,37.651361837,55.776058297
ТПУ Ленинградский АвД ЦАО,Центральный административный округ,Красносельский район,Ленинградский железнодорожный вокзал,ГБУ Автомобильные дороги ЦАО,641377368,37.654103299,55.775859293
ТПУ Лужники Жилищник Хамовники,Центральный административный округ,район Хамовники,станция метро «Лужники»,ГБУ Жилищник района Хамовники,641377375,37.561293259,55.720778969
ТПУ Лужники АвД ЦАО,Центральный административный округ,район Хамовники,станция метро «Лужники»,ГБУ Автомобильные дороги ЦАО,641377380,37.56395401,55.721941643
ТПУ Медведково Жилищник Северное Медведково,Северо-Восточный административный округ,район Северное Медведково,станция метро «Медведково»,ГБУ Жилищник района Северное Медведково,641377384,37.661279091,55.888502227
ТПУ Медведково АвД СВАО,Северо-Восточный административный округ,район Северное Медведково,станция метро «Медведково»,ГБУ Автомобильные дороги СВАО,641377387,37.66175808,55.887411443
ТПУ Нагатинская АвД города Москвы,Южный административный округ,Нагорный район,станция метро «Нагатинская»,ГБУ Автомобильные дороги,641377389,37.622147217,55.683991476
ТПУ Новогиреево ДЗ ВАО,Восточный административный округ,район Новогиреево,станция метро «Новогиреево»,ГКУ «Дирекция ЖКХиБ ВАО»,641377391,37.817648067,55.751680945
ТПУ Новогиреево ДЗ ВАО (железнодорожная станция р-н Вешняки),Восточный административный округ,район Вешняки,железнодорожная станция «Новогиреево»,ГКУ «Дирекция ЖКХиБ ВАО»,641377393,37.820459023,55.744146881
ТПУ Новогиреево ДЗ ВАО (железнодорожная станция р-н Новогиреево),Восточный административный округ,район Новогиреево,платформа железной дороги «Новогиреево»,ГКУ «Дирекция ЖКХиБ ВАО»,641377394,37.817685845,55.744739759
ТПУ Новокосино ДЗ ВАО,Восточный административный округ,район Новокосино,станция метро «Новокосино»,ГКУ «Дирекция ЖКХиБ ВАО»,641377396,37.864103928,55.745381478
ТПУ Павелецкий АвД города Москвы,Центральный административный округ,район Замоскворечье,Павелецкий вокзал,ГБУ Автомобильные дороги,641377397,37.637081757,55.730515288
ТПУ Павелецкий Жилищник Замоскворечье,Центральный административный округ,район Замоскворечье,Павелецкий вокзал,ГБУ Жилищник района Замоскворечье,641377398,37.639742508,55.729788782
ТПУ Павелецкий АвД ЦАО,Центральный административный округ,район Замоскворечье,Павелецкий вокзал,ГБУ Автомобильные дороги ЦАО,641377402,37.638455048,55.729740347
ТПУ Планерная АвД СЗАО,Северо-Западный административный округ,район Северное Тушино,станция метро «Планерная»,ГБУ Автомобильные дороги СЗАО,641377404,37.436066284,55.861910199
ТПУ Площадь Гагарина АвД города Москвы,Юго-Западный административный округ,Гагаринский район,станция метро «Ленинский проспект»,ГБУ Автомобильные дороги,641377411,37.586012497,55.706969561
ТПУ Площадь Гагарина АвД ЮЗАО,Юго-Западный административный округ,Гагаринский район,станция метро «Ленинский проспект»,ГБУ Автомобильные дороги ЮЗАО,641377413,37.586184158,55.707211874
ТПУ Площадь Гагарина Жилищник Донской,Южный административный округ,Донской район,станция метро «Ленинский проспект»,ГБУ Жилищник района Донской,641377415,37.587782755,55.707926687
ТПУ Площадь Ильича АвД города Москвы,Центральный административный округ,Таганский район,"станция метро «Площадь Ильича», платформа «Площадь Ильича»",ГБУ Автомобильные дороги,641377417,37.681241646,55.747172785
ТПУ Площадь Ильича Жилищник Таганский,Центральный административный округ,Таганский район,"станция метро «Площадь Ильича», платформа «Площадь Ильича»",ГБУ Жилищник района Таганский,641377422,37.68119873,55.74726961
ТПУ Речной вокзал АвД САО,Северный административный округ,район Левобережный,станция метро «Речной вокзал»,ГБУ Автомобильные дороги САО,641377429,37.476492538,55.854934627
ТПУ Рижская Жилищник Мещанский,Центральный административный округ,Мещанский район,платформа «Рижская»,ГБУ Жилищник района Мещанский,641377554,37.635919624,55.792644568
