global_id,Name
2493438533,Автобус
2493438534,Трамвай
2493438535,Троллейбус
2493438536,Электробус
2493438537,Московский метрополитен
2493438538,Московское центральное кольцо
2493438539,Автобус
2493438540,Трамвай
2493438541,Троллейбус
2493438542,Электробус
2493438543,Московский метрополитен
2493438544,Московское центральное кольцо
2493438545,Автобус
2493438546,Трамвай
2493438547,Троллейбус
2493438548,Электробус
2493438549,Московский метрополитен
2493438550,Московское центральное кольцо
2493438551,Автобус
2493438552,Трамвай
2493438553,Троллейбус
2493438554,Электробус
2493438555,Московский метрополитен
2493438556,Московское центральное кольцо
2493438557,Автобус
2493438558,Трамвай
2493438559,Троллейбус
2493438560,Электробус
2493438561,Московский метрополитен
2493438562,Московское центральное кольцо
2493438563,Автобус
2493438564,Трамвай
2493438565,Троллейбус
2493438566,Электробус
2493438567,Московский метрополитен
2493438568,Московское центральное кольцо
2493438569,Автобус
2493438570,Трамвай
2493438571,Троллейбус
2493438572,Электробус
2493438573,Московский метрополитен
2493438574,Московское центральное кольцо
2493438575,Автобус
2493438576,Трамвай
2493438577,Троллейбус
2493438578,Электробус
2493438579,Московский метрополитен
2493438580,Московское центральное кольцо
2493438581,Автобус
2493438582,Трамвай
2493438583,Троллейбус
2493438584,Электробус
2493438585,Московский метрополитен
2493438586,Московское центральное кольцо
2493438587,Автобус
2493438588,Трамвай
2493438589,Троллейбус
2493438590,Электробус
2493438591,Московский метрополитен
2493438592,Московское центральное кольцо
2493438593,Автобус
2493438594,Трамвай
2493438595,Троллейбус
2493438596,Электробус
2493438597,Московский метрополитен
2493438598,Московское центральное кольцо
2493438599,Автобус
2493438600,Трамвай
2493438601,Троллейбус
2493438602,Электробус
2493438603,Московский метрополитен
2493438604,Московское центральное кольцо
2493438605,Автобус
2493438606,Трамвай
2493438607,Троллейбус
2493438608,Электробус
2493438609,Московский метрополитен
2493438610,Московское центральное кольцо
2493438611,Автобус
2493438612,Трамвай
2493438613,Троллейбус
2493438614,Электробус
2493438615,Московский метрополитен
2493438616,Московское центральное кольцо
2493438617,Автобус
2493438618,Трамвай
2493438619,Троллейбус
2493438620,Электробус
2493438621,Московский метрополитен
2493438624,Московское центральное кольцо
2493438627,Автобус
2493438630,Трамвай
2493438634,Троллейбус
2493438636,Электробус
2493438639,Московский метрополитен
2493438643,Московское центральное кольцо
2493438647,Автобус
2493438651,Трамвай
2493438654,Троллейбус
2493438659,Электробус
2493438661,Московский метрополитен
2493438664,Московское центральное кольцо
2493438669,Автобус
2493438671,Трамвай
2493438673,Троллейбус
2493438676,Электробус
2493438680,Московский метрополитен
2493438682,Московское центральное кольцо
2493438683,Автобус
2493438685,Трамвай
2493438686,Троллейбус
2493438687,Электробус
2493438688,Московский метрополитен
2493438689,Московское центральное кольцо
2493438690,Автобус
2493438691,Трамвай
2493438692,Троллейбус
2493438693,Электробус
2493438694,Московский метрополитен
2493438695,Московское центральное кольцо
2493438696,Автобус
2493438697,Трамвай
2493438698,Троллейбус
2493438699,Электробус
2493438700,Московский метрополитен
2493438701,Московское центральное кольцо
2493438702,Автобус
2493438703,Трамвай
2493438704,Троллейбус
2493438705,Электробус
2493438706,Московский метрополитен
2493438707,Московское центральное кольцо
2493438708,Автобус
2493438709,Трамвай
2493438710,Троллейбус
2493438711,Электробус
2493438712,Московский метрополитен
2493438713,Московское центральное кольцо
2493438714,Автобус
2493438715,Трамвай
2493438716,Троллейбус
2493438717,Электробус
2493438718,Московский метрополитен
