Name,global_id,AdmArea,District,Location,lon,lat,Material
"Искусственная дорожная неровность по адресу Борисовский проезд, дом 20",1711216,Южный административный округ,район Орехово-Борисово Северное,"Борисовский проезд, дом 20",37.7264106642299,55.6256708883571,пластик
"Искусственная дорожная неровность по адресу Ореховый проезд, дом 43А",1711244,Южный административный округ,район Зябликово,"Ореховый проезд, дом 43А",37.7294605021117,55.6149675365588,пластик
"Искусственная дорожная неровность по адресу улица Кошкина, дом 6",1711314,Южный административный округ,район Москворечье-Сабурово,"улица Кошкина, дом 6",37.67217137103,55.6429374062292,пластик
"Искусственная дорожная неровность по адресу улица Москворечье, дом 47, корпус 1",1711318,Южный административный округ,район Москворечье-Сабурово,"улица Москворечье, дом 47, корпус 1",37.666793373918,55.6443274763358,пластик
"Искусственная дорожная неровность по адресу Артековская улица, дом 3",1711323,Южный административный округ,Нагорный район,"Артековская улица, дом 3",37.6131946253298,55.6509328061719,пластик
"Искусственная дорожная неровность по адресу улица Лобанова, дом 3",1711364,Южный административный округ,Даниловский район,"улица Лобанова, дом 3",37.6593601383354,55.7015674733892,пластик
"Искусственная дорожная неровность на УДС 1-го Автозаводского проезда с привязкой к адресу Автозаводская улица, дом 15/2",1711369,Южный административный округ,Даниловский район,"Автозаводская улица, дом 15/2",37.6564011578581,55.705010446809,пластик
"Искусственная дорожная неровность по адресу улица Полбина, дом 18",1711401,Юго-Восточный административный округ,район Печатники,"улица Полбина, дом 18",37.7288117468983,55.687751530227,пластик
"Искусственная дорожная неровность по адресу Нагатинская набережная, дом 56",1711407,Южный административный округ,район Нагатинский Затон,"Нагатинская набережная, дом 56",37.6886289049888,55.6907491563049,пластик
"Искусственная дорожная неровность по адресу улица Бахрушина, дом 25",1711424,Центральный административный округ,район Замоскворечье,"улица Бахрушина, дом 25",37.636858,55.732977,пластик
"Искусственная дорожная неровность по адресу Автозаводская улица, дом 7",1711430,Южный административный округ,Даниловский район,"Автозаводская улица, дом 7",37.6604204486113,55.7081910281382,пластик
"Искусственная дорожная неровность по адресу Малая Тульская улица, дом 15",1711433,Южный административный округ,Даниловский район,"Малая Тульская улица, дом 15",37.6187783159806,55.7091301405032,пластик
"Искусственная дорожная неровность по адресу Святоозерская улица, дом 16",1711443,Восточный административный округ,район Косино-Ухтомский,"Святоозерская улица, дом 16",37.8900577692444,55.7132215806286,пластик
"Искусственная дорожная неровность по адресу Восточная улица, дом 4А, строение 38",1711446,Южный административный округ,Даниловский район,"Восточная улица, дом 4А, строение 38",37.6604097209302,55.7156533295377,пластик
