ID,Year,Month,TransportType,PassengerTraffic,global_id,Month_num,Data
1,2019,Январь,Автобус,93017249,2493438533,01,2019-01-01
2,2019,Январь,Трамвай,16851856,2493438534,01,2019-01-01
3,2019,Январь,Троллейбус,13241379,2493438535,01,2019-01-01
4,2019,Январь,Электробус,472840,2493438536,01,2019-01-01
5,2019,Январь,Московский метрополитен,185698294,2493438537,01,2019-01-01
6,2019,Январь,Московское центральное кольцо,7227364,2493438538,01,2019-01-01
7,2019,Февраль,Автобус,100185579,2493438539,02,2019-02-01
8,2019,Февраль,Трамвай,18239165,2493438540,02,2019-02-01
9,2019,Февраль,Троллейбус,14286051,2493438541,02,2019-02-01
10,2019,Февраль,Электробус,610208,2493438542,02,2019-02-01
11,2019,Февраль,Московский метрополитен,195593495,2493438543,02,2019-02-01
12,2019,Февраль,Московское центральное кольцо,8076174,2493438544,02,2019-02-01
13,2019,Март,Автобус,110009277,2493438545,03,2019-03-01
14,2019,Март,Трамвай,20424685,2493438546,03,2019-03-01
15,2019,Март,Троллейбус,15687851,2493438547,03,2019-03-01
16,2019,Март,Электробус,815606,2493438548,03,2019-03-01
17,2019,Март,Московский метрополитен,214547007,2493438549,03,2019-03-01
18,2019,Март,Московское центральное кольцо,8818578,2493438550,03,2019-03-01
19,2019,Апрель,Автобус,110482817,2493438551,04,2019-04-01
20,2019,Апрель,Трамвай,21283179,2493438552,04,2019-04-01
21,2019,Апрель,Троллейбус,15965669,2493438553,04,2019-04-01
22,2019,Апрель,Электробус,1097579,2493438554,04,2019-04-01
23,2019,Апрель,Московский метрополитен,220410081,2493438555,04,2019-04-01
24,2019,Апрель,Московское центральное кольцо,9781828,2493438556,04,2019-04-01
25,2019,Май,Автобус,94875343,2493438557,05,2019-05-01
26,2019,Май,Трамвай,18087776,2493438558,05,2019-05-01
27,2019,Май,Троллейбус,12967938,2493438559,05,2019-05-01
28,2019,Май,Электробус,1238825,2493438560,05,2019-05-01
29,2019,Май,Московский метрополитен,197948203,2493438561,05,2019-05-01
30,2019,Май,Московское центральное кольцо,8812786,2493438562,05,2019-05-01
31,2019,Июнь,Автобус,88137415,2493438563,06,2019-06-01
32,2019,Июнь,Трамвай,17135891,2493438564,06,2019-06-01
33,2019,Июнь,Троллейбус,11446340,2493438565,06,2019-06-01
34,2019,Июнь,Электробус,1533879,2493438566,06,2019-06-01
35,2019,Июнь,Московский метрополитен,192981422,2493438567,06,2019-06-01
36,2019,Июнь,Московское центральное кольцо,8546506,2493438568,06,2019-06-01
37,2019,Июль,Автобус,89660196,2493438569,07,2019-07-01
38,2019,Июль,Трамвай,16504299,2493438570,07,2019-07-01
39,2019,Июль,Троллейбус,11375844,2493438571,07,2019-07-01
40,2019,Июль,Электробус,1978336,2493438572,07,2019-07-01
41,2019,Июль,Московский метрополитен,195544540,2493438573,07,2019-07-01
42,2019,Июль,Московское центральное кольцо,8706549,2493438574,07,2019-07-01
43,2019,Август,Автобус,90775741,2493438575,08,2019-08-01
44,2019,Август,Трамвай,14683203,2493438576,08,2019-08-01
45,2019,Август,Троллейбус,11145117,2493438577,08,2019-08-01
46,2019,Август,Электробус,2351887,2493438578,08,2019-08-01
47,2019,Август,Московский метрополитен,190712759,2493438579,08,2019-08-01
48,2019,Август,Московское центральное кольцо,8448720,2493438580,08,2019-08-01
49,2019,Сентябрь,Автобус,101764004,2493438581,09,2019-09-01
50,2019,Сентябрь,Трамвай,16780913,2493438582,09,2019-09-01
51,2019,Сентябрь,Троллейбус,12024176,2493438583,09,2019-09-01
