ID,global_id,Name,ShortName,AdmArea,District,Address,Owner,TestDate,lon,lat
16,25792131,Автомобильная заправочная станция «ДЭКа-ОЙЛ» на 58-м километре Калужского шоссе,Автомобильная заправочная станция «ДЭКа-ОЙЛ» на 58-м километре Калужского шоссе,Троицкий административный округ,поселение Вороновское,58-й километр Калужского шоссе,ООО «ДЭКа-ОЙЛ»,14.05.2015,37.172439523,55.343229037
17,25797283,Автомобильная заправочная станция «НефтеХим Нафта» на 41-м километре Калужского шоссе,АЗС «НефтеХим Нафта» на 41-м километре Калужского шоссе,Троицкий административный округ,поселение Троицк,41-й километр Калужского шоссе,ООО «НефтеХим Нафта»,19.05.2015,37.299622258,55.466529149
18,25797951,"Автомобильная заправочная станция «Зинкин А.Д.» в Зеленограде, на проезде 4807, строение 6","АЗС «Зинкин А.Д.» в Зеленограде, на проезде 4807, строение 6",Зеленоградский административный округ,район Савёлки,"Зеленоград, проезд 4807, строение 6",ИП Зинкин А.Д.,20.05.2015,37.257993959,55.979719171
20,25800062,"Автомобильная заправочная станция «Ресурс-Трейдинг» на Южнопортовой улице, дом 17Д","АЗС «Ресурс-Трейдинг» на Южнопортовой улице, дом 17Д",Юго-Восточный административный округ,район Печатники,"Южнопортовая улица, дом 17Д",ООО «Ресурс-Трейдинг»,26.05.2015,37.702890764,55.704308594
24,61428545,Автомобильная заправочная станция «Трасса» на 57-й километре Киевского шоссе,АЗС «Трасса» на 57-й километре Киевского шоссе,Троицкий административный округ,поселение Киевский,57-й километр Киевского шоссе,ООО «Трасса»,10.11.2015,36.93079754,55.471576448
26,61429466,"Автомобильная заправочная станция «Рэчэлл» на шоссе Пятницком, дом 2","АЗС «Рэчэлл» на шоссе Пятницком, дом 2",Северо-Западный административный округ,район Митино,"шоссе Пятницкое, дом 2",ООО «Рэчэлл»,19.11.2015,37.389048248,55.835045937
35,171586220,Автомобильная заправочная станция ИП Плуталова Ю.А. в поселении Вороновское,АЗС ИП Плуталова Ю.А. в поселении Вороновское,Троицкий административный округ,поселение Вороновское,"поселение Вороновское, ЛМС",ИП Плуталова Ю.А.,05.04.2016,37.187116868,55.323577412
30,282547089,Автомобильная заправочная станция «ИП Сорокин А.В.» на 57-м километре Киевского шоссе,АЗС «ИП Сорокин А.В.» на 57-м километре Киевского шоссе,Троицкий административный округ,поселение Новофедоровское,57-й километр Киевского шоссе,ИП Сорокин А.В. под брендом Энерджи,13.06.2017,36.930755747,55.471612995
31,282547426,"Автомобильная заправочная станция «Компания ЖИГУЛИ» на Шоссейной улице, владение 88","АЗС «Компания ЖИГУЛИ» на Шоссейной улице, владение 88",Юго-Восточный административный округ,район Печатники,"Шоссейная улица, владение 88",ООО «Компания ЖИГУЛИ»,29.11.2016,37.7198169,55.666522446
32,642053791,"Автомобильная заправочная станция «СГС Петролеум» на Мелитопольской улице, дом 7","АЗС «СГС Петролеум» на Мелитопольской улице, дом 7",Южный административный округ,район Бирюлёво Западное,"Мелитопольская улица, дом 7",«СГС Петролеум»,23.08.2017,37.628833181,55.586277988
33,889967961,"Автомобильная заправочная станция «Инвест Капитал» на Симферопольском шоссе, д. 23","Автомобильная заправочная станция «Инвест Капитал» на Симферопольском шоссе, д. 23",Южный административный округ,район Чертаново Южное,"Симферопольское шоссе, д. 23",ООО «Инвест Капитал»,03.07.2018,37.602186309,55.569692819
34,905397008,"Автомобильная заправочная станция «ТиСа» на Шипиловской улице, д. 28","АЗС «ТиСа» на Шипиловской улице, д. 28",Южный административный округ,район Орехово-Борисово Северное,"Шипиловская улица, д. 28",ООО «ТиСа»,14.11.2018,37.714700761,55.619359241
27,1011673957,Автомобильная заправочная станция «ИП Чабанов А.А.» на 34-м км Киевского шоссе,АЗC «ИП Чабанов А.А.» на 34-м км Киевского шоссе,Новомосковский административный округ,поселение Марушкинское,34-й км Киевского шоссе,ИП Чабанов А.А.,16.08.2019,37.23768942,55.579021862
28,1011674116,"Автомобильная заправочная станция «Нефтегазкомплект» на 26-м километре Московской кольцевой автомобильной дороги, владение 10","АЗC «Нефтегазкомплект» на 26-м километре Московской кольцевой автомобильной дороги, владение 10",Южный административный округ,район Бирюлёво Восточное,"26-й километр Московской кольцевой автомобильной дороги, владение 10",ООО «Нефтегазкомплект»,30.08.2019,37.706738028,55.583724529
29,1139074964,"Автомобильная заправочная станция «ЕКА» на Варшавском шоссе, дом 148А","АЗС «ЕКА» на Варшавском шоссе, дом 148А",Южный административный округ,район Чертаново Южное,"Варшавское шоссе, дом 148А",ООО ТК «ЕКА»,16.04.2021,37.603693314,55.60108367
14,4539435,Автомобильный заправочный комплекс № 1 «РН-Москва»,АЗК № 1 «РН-Москва»,Северо-Восточный административный округ,район Отрадное,"улица Декабристов, дом 47Б",ОАО «РН-Москва»,04.04.2013,37.623636836,55.858348644
15,4539436,Автомобильный заправочный комплекс № 11 «РН-Москва»,АЗК № 11 «РН-Москва»,Северный административный округ,Бескудниковский район,"Дубнинская улица, дом 52",ОАО «РН-Москва»,04.04.2013,37.553284632,55.896976741
16,4539437,"Автомобильная заправочная станция «Альфа-Петрол М» на Ясеневой улице, дом 13А","АЗС «Альфа-Петрол М» на Ясеневой улице, дом 13А",Южный административный округ,район Орехово-Борисово Южное,"Ясеневая улица, дом 13А",ООО «Альфа-Петрол М»,09.04.2013,37.725173521,55.602283341
19,4539438,Автомобильная заправочная станция № 18 «ЕКА-АЗС»,АЗС № 18 «ЕКА-АЗС»,Северный административный округ,район Сокол,"улица Панфилова, владение 2",ООО «ЕКА-АЗС»,10.04.2013,37.500852903,55.79859734
20,4539439,Автомобильный заправочный комплекс № 57 «РН-Москва»,АЗК № 57 «РН-Москва»,Юго-Восточный административный округ,Рязанский район,"Рязанский проспект, владение 26, корпус 2",ОАО «РН-Москва»,11.04.2013,37.777492911,55.719633634
