global_id,Name,BalanceHolder,AdmArea,District,Address,lon,lat
2566160457,"Станция №2, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,район Замоскворечье,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, улица Бахрушина, дом 18, строение 3",37.63573,55.73453
2566160494,"Станция №71, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Таганский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, улица Большие Каменщики, дом 6, строение 1",37.65551,55.73631
2566160642,"Станция №72, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Таганский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, улица Большие Каменщики, дом 6, строение 1А",37.655608,55.736211
2566178202,"Станция №73, 50 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Западный административный округ,район Дорогомилово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Европы, дом 1А",37.571088,55.743311
2566178211,"Станция №74, 50 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Западный административный округ,район Дорогомилово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Европы, дом 1А",37.570948,55.743153
2566178212,"Станция №75, 50 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Западный административный округ,район Дорогомилово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Европы, дом 1А",37.571189,55.743406
2566178213,"Станция №78, 50 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северный административный округ,район Беговой,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Беговой, улица Авиаконструктора Сухого, дом 1А, строение 1",37.542159,55.785205
2566178214,"Станция №79, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северо-Восточный административный округ,Бабушкинский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бабушкинский, улица Менжинского, дом 23, корпус 1",37.662035,55.869758
2566178215,"Станция №80, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Юго-Восточный административный округ,район Люблино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, Цимлянская улица, дом 7, строение 4",37.767375,55.668741
2566178216,"Станция №81, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северо-Восточный административный округ,район Бибирево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, Алтуфьевское шоссе, дом 82, строение 2",37.587709,55.895734
2566178218,"Станция №82, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Южный административный округ,район Чертаново Южное,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 141Г",37.602059,55.591374
2566178219,"Станция №83, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Западный административный округ,район Раменки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Кедрова, дом 26/22",37.502967,55.698007
2566178220,"Станция №84, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Западный административный округ,район Тропарёво-Никулино,"город Москва, улица Покрышкина, дом 4",37.48057,55.665026
2566178222,"Станция №86, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Юго-Западный административный округ,район Северное Бутово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Бутово, улица Грина, дом 7",37.571871,55.567275
2566178223,"Станция №87, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Юго-Западный административный округ,район Южное Бутово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, улица Адмирала Руднева, дом 2",37.524907,55.544367
2566178224,"Станция №88, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Восточный административный округ,район Новокосино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новокосино, Новокосинская улица, дом 19",37.858407,55.739714
2566178227,"Станция №90, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Юго-Восточный административный округ,район Люблино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, Новороссийская улица, дом 24, корпус 1",37.758256,55.67495
2566178229,"Станция №92, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Западный административный округ,Можайский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, улица Толбухина, дом 5, корпус 4",37.39953,55.71849
2566178230,"Станция №93, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Западный административный округ,район Дорогомилово,"площадь Киевского Вокзала, з/у 2",37.568791,55.744534
2566178231,"Станция №94, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Западный административный округ,район Дорогомилово,"площадь Киевского Вокзала, з/у 1",37.568885,55.744683
2566178232,"Станция №95, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Юго-Восточный административный округ,Южнопортовый район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, улица Петра Романова, дом 9",37.682267,55.707937
2566178233,"Станция №96, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Юго-Восточный административный округ,район Выхино-Жулебино,"город Москва, Жулебинская улица, дом 16",37.852427,55.696598
2566178235,"Станция №97, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Восточный административный округ,район Новогиреево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Свободный проспект, дом 35А",37.81696,55.75059
2566178237,"Станция №99, 50 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северо-Западный административный округ,район Южное Тушино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Тушино, бульвар Яна Райниса, дом 1",37.437701,55.850325
2566178238,"Станция №101, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северо-Восточный административный округ,Останкинский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, проспект Мира, дом 96, строение 6",37.63694,55.80964
2566178239,"Станция №102, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, шоссе Энтузиастов, дом 54",37.825707,55.774138
2566178240,"Станция №104, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Юго-Восточный административный округ,Рязанский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, Рязанский проспект, дом 30, корпус 2",37.78481,55.71838
2566178241,"Станция №105, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северный административный округ,район Аэропорт,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, улица Верхняя Масловка, дом 11",37.563087,55.792485
2566178242,"Станция №107, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Южный административный округ,Даниловский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, 1-й Автозаводский проезд, дом 5",37.657506,55.704458
